,Close_target
2020-02-09,109.74
2020-02-10,109.77
2020-02-11,110.08
2020-02-12,109.81
2020-02-13,109.74
2020-02-14,109.78666666666666
2020-02-15,109.83333333333333
2020-02-16,109.88
2020-02-17,109.86
2020-02-18,111.35
2020-02-19,112.11
2020-02-20,111.57
2020-02-21,111.28333333333333
2020-02-22,110.99666666666666
2020-02-23,110.71
2020-02-24,110.18
2020-02-25,110.42
2020-02-26,109.58
2020-02-27,108.07
2020-02-28,108.14666666666666
2020-02-29,108.22333333333333
2020-03-01,108.3
2020-03-02,107.12
2020-03-03,107.52
2020-03-04,106.16
2020-03-05,105.3
2020-03-06,104.31333333333333
2020-03-07,103.32666666666667
2020-03-08,102.34
2020-03-09,105.63
2020-03-10,104.53
2020-03-11,104.63
2020-03-12,107.91
2020-03-13,107.22333333333333
2020-03-14,106.53666666666666
2020-03-15,105.85
2020-03-16,107.67
2020-03-17,108.06
2020-03-18,110.69
2020-03-19,110.8
2020-03-20,110.93333333333334
2020-03-21,111.06666666666666
2020-03-22,111.2
2020-03-23,111.21
2020-03-24,111.19
2020-03-25,109.58
2020-03-26,107.89
2020-03-27,107.86333333333333
2020-03-28,107.83666666666667
2020-03-29,107.81
2020-03-30,107.53
2020-03-31,107.15
2020-04-01,107.9
2020-04-02,108.45
2020-04-03,108.7
2020-04-04,108.95
2020-04-05,109.2
2020-04-06,108.7
2020-04-07,108.81
2020-04-08,108.46
2020-04-09,108.46
2020-04-10,108.22666666666666
2020-04-11,107.99333333333334
2020-04-12,107.76
2020-04-13,107.2
2020-04-14,107.47
2020-04-15,107.94
2020-04-16,107.51
2020-04-17,107.54333333333334
2020-04-18,107.57666666666667
2020-04-19,107.61
2020-04-20,107.76
2020-04-21,107.72
2020-04-22,107.58
2020-04-23,107.5
2020-04-24,107.40666666666667
2020-04-25,107.31333333333333
2020-04-26,107.22
2020-04-27,106.86
2020-04-28,106.7
2020-04-29,107.17
2020-04-30,106.93
2020-05-01,106.86333333333334
2020-05-02,106.79666666666667
2020-05-03,106.73
2020-05-04,106.58
2020-05-05,106.14
2020-05-06,106.27
2020-05-07,106.65
2020-05-08,106.98666666666666
2020-05-09,107.32333333333334
2020-05-10,107.66
2020-05-11,107.13
2020-05-12,107.02
2020-05-13,107.24
2020-05-14,107.02
2020-05-15,107.12333333333333
2020-05-16,107.22666666666666
2020-05-17,107.33
2020-05-18,107.68
2020-05-19,107.51
2020-05-20,107.61
2020-05-21,107.61
2020-05-22,107.63666666666667
2020-05-23,107.66333333333333
2020-05-24,107.69
2020-05-25,107.52
2020-05-26,107.71
2020-05-27,107.63
2020-05-28,107.77
2020-05-29,107.70666666666666
2020-05-30,107.64333333333333
2020-05-31,107.58
2020-06-01,108.66
2020-06-02,108.89
2020-06-03,109.13
2020-06-04,109.58
2020-06-05,109.19333333333333
2020-06-06,108.80666666666667
2020-06-07,108.42
2020-06-08,107.72
2020-06-09,107.09
2020-06-10,106.85
2020-06-11,107.34
2020-06-12,107.33
2020-06-13,107.32000000000001
2020-06-14,107.31
2020-06-15,107.32
2020-06-16,107.0
2020-06-17,106.96
2020-06-18,106.87
2020-06-19,106.87
2020-06-20,106.87
2020-06-21,106.87
2020-06-22,106.51
2020-06-23,107.02
2020-06-24,107.19
2020-06-25,107.21
2020-06-26,107.32666666666667
2020-06-27,107.44333333333333
2020-06-28,107.56
2020-06-29,107.92
2020-06-30,107.46
2020-07-01,107.48
2020-07-02,107.5
2020-07-03,107.45
2020-07-04,107.39999999999999
2020-07-05,107.35
2020-07-06,107.51
2020-07-07,107.25
2020-07-08,107.19
2020-07-09,106.89
2020-07-10,107.01333333333334
2020-07-11,107.13666666666667
2020-07-12,107.26
2020-07-13,107.23
2020-07-14,106.92
2020-07-15,107.26
2020-07-16,106.99
2020-07-17,107.07333333333332
2020-07-18,107.15666666666667
2020-07-19,107.24
2020-07-20,106.76
2020-07-21,107.14
2020-07-22,106.85
2020-07-23,106.12
2020-07-24,105.87
2020-07-25,105.62
2020-07-26,105.37
2020-07-27,105.08
2020-07-28,104.91
2020-07-29,104.72
2020-07-30,105.88
2020-07-31,105.89999999999999
2020-08-01,105.92
2020-08-02,105.94
2020-08-03,105.7
2020-08-04,105.57
2020-08-05,105.54
2020-08-06,105.91
2020-08-07,105.92333333333333
2020-08-08,105.93666666666667
2020-08-09,105.95
2020-08-10,106.48
2020-08-11,106.89
2020-08-12,106.92
2020-08-13,106.59
2020-08-14,106.39
2020-08-15,106.19
2020-08-16,105.99
2020-08-17,105.42
2020-08-18,106.1
2020-08-19,105.79
2020-08-20,105.78
2020-08-21,105.84333333333333
2020-08-22,105.90666666666667
2020-08-23,105.97
2020-08-24,106.36
2020-08-25,105.98
2020-08-26,106.55
2020-08-27,105.34
2020-08-28,105.52333333333334
2020-08-29,105.70666666666666
2020-08-30,105.89
2020-08-31,105.95
2020-09-01,106.18
2020-09-02,106.17
2020-09-03,106.23
2020-09-04,106.23666666666666
2020-09-05,106.24333333333334
2020-09-06,106.25
2020-09-07,106.01
2020-09-08,106.17
2020-09-09,106.13
2020-09-10,106.14
2020-09-11,106.0
2020-09-12,105.86
2020-09-13,105.72
2020-09-14,105.43
2020-09-15,104.94
2020-09-16,104.73
2020-09-17,104.55
2020-09-18,104.58
2020-09-19,104.61
2020-09-20,104.64
2020-09-21,104.91
2020-09-22,105.37
2020-09-23,105.4
2020-09-24,105.6
2020-09-25,105.56333333333333
2020-09-26,105.52666666666666
2020-09-27,105.49
2020-09-28,105.64
2020-09-29,105.45
2020-09-30,105.5
2020-10-01,105.33
2020-10-02,105.46
2020-10-03,105.59
2020-10-04,105.72
2020-10-05,105.62
2020-10-06,105.96
2020-10-07,106.01
2020-10-08,105.59
2020-10-09,105.49333333333334
2020-10-10,105.39666666666666
2020-10-11,105.3
2020-10-12,105.47
2020-10-13,105.15
2020-10-14,105.44
2020-10-15,105.4
2020-10-16,105.40666666666667
2020-10-17,105.41333333333334
2020-10-18,105.42
2020-10-19,105.49
2020-10-20,104.56
2020-10-21,104.82
2020-10-22,104.69
2020-10-23,104.73333333333333
2020-10-24,104.77666666666666
2020-10-25,104.82
2020-10-26,104.4
2020-10-27,104.29
2020-10-28,104.61
2020-10-29,104.64
2020-10-30,104.66333333333333
2020-10-31,104.68666666666667
2020-11-01,104.71
2020-11-02,104.46
2020-11-03,104.48
2020-11-04,103.47
2020-11-05,103.33
2020-11-06,104.00666666666666
2020-11-07,104.68333333333334
2020-11-08,105.36
2020-11-09,105.28
2020-11-10,105.42
2020-11-11,105.12
2020-11-12,104.62
2020-11-13,104.60000000000001
2020-11-14,104.58
2020-11-15,104.56
2020-11-16,104.17
2020-11-17,103.83
2020-11-18,103.72
2020-11-19,103.85
2020-11-20,104.08
2020-11-21,104.31
2020-11-22,104.54
2020-11-23,104.43
2020-11-24,104.45
2020-11-25,104.25
2020-11-26,104.1
2020-11-27,104.15666666666667
2020-11-28,104.21333333333332
2020-11-29,104.27
2020-11-30,104.3
2020-12-01,104.4
2020-12-02,103.83
2020-12-03,104.14
2020-12-04,104.11333333333333
2020-12-05,104.08666666666667
2020-12-06,104.06
2020-12-07,104.15
2020-12-08,104.21
2020-12-09,104.2
2020-12-10,104.01
2020-12-11,104.01666666666667
2020-12-12,104.02333333333334
2020-12-13,104.03
2020-12-14,103.66
2020-12-15,103.48
2020-12-16,103.1
2020-12-17,103.31
2020-12-18,103.30666666666667
2020-12-19,103.30333333333333
2020-12-20,103.3
2020-12-21,103.63
2020-12-22,103.55
2020-12-23,103.63
2020-12-24,103.48
2020-12-25,103.58
2020-12-26,103.68
2020-12-27,103.78
2020-12-28,103.56
2020-12-29,103.17
2020-12-30,103.24
2020-12-31,103.2
2021-01-01,103.16666666666667
2021-01-02,103.13333333333333
2021-01-03,103.1
2021-01-04,102.72
2021-01-05,103.04
2021-01-06,103.8
2021-01-07,103.93
2021-01-08,104.03333333333333
2021-01-09,104.13666666666667
2021-01-10,104.24
2021-01-11,103.75
2021-01-12,103.85
2021-01-13,103.79
2021-01-14,103.87
2021-01-15,103.81
2021-01-16,103.75
2021-01-17,103.69
2021-01-18,103.89
2021-01-19,103.52
2021-01-20,103.48
2021-01-21,103.77
2021-01-22,103.75666666666666
2021-01-23,103.74333333333334
2021-01-24,103.73
2021-01-25,103.6
2021-01-26,104.09
2021-01-27,104.21
2021-01-28,104.68
2021-01-29,104.75666666666667
2021-01-30,104.83333333333333
2021-01-31,104.91
2021-02-01,104.97
2021-02-02,105.01
2021-02-03,105.54
2021-02-04,105.36
2021-02-05,105.31333333333333
2021-02-06,105.26666666666667
2021-02-07,105.22
2021-02-08,104.57
2021-02-09,104.57
2021-02-10,104.72
2021-02-11,104.93
2021-02-12,105.07333333333334
2021-02-13,105.21666666666667
2021-02-14,105.36
2021-02-15,106.04
2021-02-16,105.85
2021-02-17,105.66
2021-02-18,105.43
2021-02-19,105.30666666666667
2021-02-20,105.18333333333334
2021-02-21,105.06
2021-02-22,105.24
2021-02-23,105.86
2021-02-24,106.21
2021-02-25,106.58
2021-02-26,106.63666666666667
2021-02-27,106.69333333333333
2021-02-28,106.75
2021-03-01,106.67
2021-03-02,106.99
2021-03-03,107.97
2021-03-04,108.34
2021-03-05,108.51333333333334
2021-03-06,108.68666666666667
2021-03-07,108.86
2021-03-08,108.46
2021-03-09,108.38
2021-03-10,108.49
2021-03-11,109.0
2021-03-12,109.04
2021-03-13,109.08
2021-03-14,109.12
2021-03-15,108.98
2021-03-16,108.83
2021-03-17,108.88
2021-03-18,108.87
2021-03-19,108.85666666666667
2021-03-20,108.84333333333333
2021-03-21,108.83
2021-03-22,108.56
2021-03-23,108.72
2021-03-24,109.17
2021-03-25,109.64
2021-03-26,109.68666666666667
2021-03-27,109.73333333333333
2021-03-28,109.78
2021-03-29,110.34
2021-03-30,110.7
2021-03-31,110.6
2021-04-01,110.71
2021-04-02,110.53
2021-04-03,110.35
2021-04-04,110.17
2021-04-05,109.74
2021-04-06,109.84
2021-04-07,109.24
2021-04-08,109.65
2021-04-09,109.55666666666667
2021-04-10,109.46333333333334
2021-04-11,109.37
2021-04-12,109.05
2021-04-13,108.91
2021-04-14,108.74
2021-04-15,108.77
2021-04-16,108.56333333333333
2021-04-17,108.35666666666667
2021-04-18,108.15
2021-04-19,108.08
2021-04-20,108.05
2021-04-21,107.96
2021-04-22,107.91
2021-04-23,107.96666666666667
2021-04-24,108.02333333333333
2021-04-25,108.08
2021-04-26,108.68
2021-04-27,108.59
2021-04-28,108.91
2021-04-29,109.27
2021-04-30,109.2
2021-05-01,109.13
2021-05-02,109.06
2021-05-03,109.33
2021-05-04,109.18
2021-05-05,109.08
2021-05-06,108.6
2021-05-07,108.66
2021-05-08,108.72
2021-05-09,108.78
2021-05-10,108.61
2021-05-11,109.65
2021-05-12,109.45
2021-05-13,109.34
2021-05-14,109.29
2021-05-15,109.24
2021-05-16,109.19
2021-05-17,108.88
2021-05-18,109.21
2021-05-19,108.75
2021-05-20,108.94
2021-05-21,108.87333333333333
2021-05-22,108.80666666666666
2021-05-23,108.74
2021-05-24,108.76
2021-05-25,109.14
2021-05-26,109.8
2021-05-27,109.81
2021-05-28,109.72
2021-05-29,109.63000000000001
2021-05-30,109.54
2021-05-31,109.45
2021-06-01,109.54
2021-06-02,110.28
2021-06-03,109.49
2021-06-04,109.40666666666667
2021-06-05,109.32333333333332
2021-06-06,109.24
2021-06-07,109.49
2021-06-08,109.61
2021-06-09,109.31
2021-06-10,109.65
2021-06-11,109.78666666666668
2021-06-12,109.92333333333333
2021-06-13,110.06
2021-06-14,110.07
2021-06-15,110.69
2021-06-16,110.2
2021-06-17,110.19
2021-06-18,110.22666666666666
2021-06-19,110.26333333333334
2021-06-20,110.3
2021-06-21,110.64
2021-06-22,110.94
2021-06-23,110.86
2021-06-24,110.77
2021-06-25,110.72
2021-06-26,110.67
2021-06-27,110.62
2021-06-28,110.5
2021-06-29,111.1
2021-06-30,111.5
2021-07-01,111.04
2021-07-02,111.01333333333334
2021-07-03,110.98666666666666
2021-07-04,110.96
2021-07-05,110.6
2021-07-06,110.65
2021-07-07,109.79
2021-07-08,110.14
2021-07-09,110.21
2021-07-10,110.28
2021-07-11,110.35
2021-07-12,110.61
2021-07-13,109.99
2021-07-14,109.86
2021-07-15,110.08
2021-07-16,109.86666666666666
2021-07-17,109.65333333333334
2021-07-18,109.44
2021-07-19,109.84
2021-07-20,110.27
2021-07-21,110.14
2021-07-22,110.54
2021-07-23,110.47333333333334
2021-07-24,110.40666666666667
2021-07-25,110.34
2021-07-26,109.76
2021-07-27,109.9
2021-07-28,109.46
2021-07-29,109.7
2021-07-30,109.56
2021-07-31,109.42
2021-08-01,109.28
2021-08-02,109.04
2021-08-03,109.47
2021-08-04,109.74
2021-08-05,110.25
2021-08-06,110.26
2021-08-07,110.27
2021-08-08,110.28
2021-08-09,110.56
2021-08-10,110.4
2021-08-11,110.38
2021-08-12,109.57
2021-08-13,109.45666666666666
2021-08-14,109.34333333333333
2021-08-15,109.23
2021-08-16,109.57
2021-08-17,109.74
2021-08-18,109.72
2021-08-19,109.8
2021-08-20,109.76
2021-08-21,109.72
2021-08-22,109.68
2021-08-23,109.62
2021-08-24,109.99
2021-08-25,110.07
2021-08-26,109.82
2021-08-27,109.85333333333332
2021-08-28,109.88666666666667
2021-08-29,109.92
2021-08-30,110.02
2021-08-31,109.99
2021-09-01,109.92
2021-09-02,109.73
2021-09-03,109.76333333333334
2021-09-04,109.79666666666667
2021-09-05,109.83
2021-09-06,110.27
2021-09-07,110.23
2021-09-08,109.7
2021-09-09,109.93
2021-09-10,109.94666666666667
2021-09-11,109.96333333333334
2021-09-12,109.98
2021-09-13,109.67
2021-09-14,109.36
2021-09-15,109.7
2021-09-16,109.96
2021-09-17,109.77
2021-09-18,109.58
2021-09-19,109.39
2021-09-20,109.21
2021-09-21,109.78
2021-09-22,110.3
2021-09-23,110.72
2021-09-24,110.81333333333333
2021-09-25,110.90666666666667
2021-09-26,111.0
2021-09-27,111.5
2021-09-28,111.96
2021-09-29,111.27
2021-09-30,111.05
2021-10-01,110.99
2021-10-02,110.93
2021-10-03,110.87
2021-10-04,111.45
2021-10-05,111.41
2021-10-06,111.59
2021-10-07,112.22
2021-10-08,112.58
2021-10-09,112.94
2021-10-10,113.3
2021-10-11,113.6
2021-10-12,113.23
2021-10-13,113.66
2021-10-14,114.2
2021-10-15,114.23666666666666
2021-10-16,114.27333333333334
2021-10-17,114.31
2021-10-18,114.36
2021-10-19,114.26
2021-10-20,113.97
2021-10-21,113.46
2021-10-22,113.53999999999999
2021-10-23,113.62
2021-10-24,113.7
2021-10-25,114.14
2021-10-26,113.81
2021-10-27,113.56
2021-10-28,114.0
2021-10-29,113.99333333333334
2021-10-30,113.98666666666666
2021-10-31,113.98
2021-11-01,113.95
2021-11-02,113.98
2021-11-03,113.75
2021-11-04,113.4
2021-11-05,113.34
2021-11-06,113.28
2021-11-07,113.22
2021-11-08,112.85
2021-11-09,113.9
2021-11-10,114.05
2021-11-11,113.85
2021-11-12,113.94
2021-11-13,114.03
2021-11-14,114.12
2021-11-15,114.82
2021-11-16,114.07
2021-11-17,114.24
2021-11-18,113.98
2021-11-19,114.27333333333334
2021-11-20,114.56666666666666
2021-11-21,114.86
2021-11-22,115.12
2021-11-23,115.41
2021-11-24,115.35
2021-11-25,113.31
2021-11-26,113.38
2021-11-27,113.45
2021-11-28,113.52
2021-11-29,113.13
2021-11-30,112.75
2021-12-01,113.15
2021-12-02,112.8
2021-12-03,113.02
2021-12-04,113.24
2021-12-05,113.46
2021-12-06,113.57
2021-12-07,113.66
2021-12-08,113.44
2021-12-09,113.38
2021-12-10,113.44
2021-12-11,113.5
2021-12-12,113.56
2021-12-13,113.71
2021-12-14,114.02
2021-12-15,113.7
2021-12-16,113.67
2021-12-17,113.64
2021-12-18,113.61
2021-12-19,113.58
2021-12-20,114.08
2021-12-21,114.11
2021-12-22,114.37
2021-12-23,114.41
2021-12-24,114.55
2021-12-25,114.69
2021-12-26,114.83
2021-12-27,114.81
2021-12-28,114.94
2021-12-29,115.06
2021-12-30,115.08
